ID,template
0,NET: Registered protocol family <*>
1,divert: not allocating divert_blk for non-ethernet device <*>
2,Server listening on <*> port <*>.
3,"MOSAL(<*>): mnt_projects<*> MOSAL_virt_to_phys_ex: cannot retrieve <*> prot_ctx=USER, va=<*>"
4,crond <*> succeeded
5,(CRON) STARTUP (V5.<*>)
6,pbs_mom <*> succeeded
7,daemon started -- version <*>.<*>.<*>
8,[smux_accept] accepted fd <*> from <*>
9,"accepted smux peer: oid SNMPv2-SMI::enterprises.<*>.<*>.<*>, password , descr Systems Management SNMP MIB Plug-in Manager"
10,<*> startup succeeded
11,Instrumentation Service EventID: <*> Server Administrator startup complete
12,Disabled Privacy Extensions on device <*>
13,IPv6 over IPv4 tunneling driver
14,ip_tables: (C) <*>-<*> Netfilter core team
15,succeeded
16,error: Bind to port <*> on <*> failed: Address already in use.
17,Reading included configuration file: <*> [file=<*> [line=<*>]
18,Instrumentation Service EventID: <*> Server Administrator starting
19,Listening on interface <*> <*>
20,frequency initialized <*>.<*> PPM from <*>
21,kernel time sync <*> <*>
22,precision = <*> usec
23,Started working: <*> available <*>
24,removing <*>
25,xinetd Version <*>.<*>.<*> started with libwrap loadavg options compiled in.
26,starting the Postfix mail system
27,DHCPDISCOVER from <*> via <*>
28,DHCPOFFER on <*> to <*> via <*>
29,Remote host disconnected: Authentication cancelled by user.
30,authentication cancelled by user: 'Authentication cancelled by user.'
31,%RPM0-P:CP <*> Changed interface state to <*> <*> <*>
32,START: <*> pid=<*> <*>
33,ntpd #<*>#@<*>.<*>-r Mon Oct <*> <*>:<*>:<*> EDT <*> (<*>)
34,Type: <*> ANSI SCSI revision: <*>
35,Vendor: <*> Model: <*> Rev: <*>
36,ACPI wakeup devices:
37,ACPI: (supports S0 S4 S5)
38,"ACPI: PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>"
39,Copyright (c) <*>-<*> LSI Logic Corporation
40,Freeing unused kernel memory: <*> freed
41,Fusion MPT <*> Host driver <*>
42,Fusion MPT base driver <*>
43,"IP: routing cache hash table of <*> buckets, <*>"
44,Initializing <*> netlink socket
45,PCI0 PALO PBLO VPR0 PBHI PICH
46,Probing IDE interface <*>
47,RAMDISK driver initialized: <*> RAM disks of <*> size <*> blocksize
48,SCSI device sda: <*> <*>-byte hdwr sectors (<*> MB)
49,SCSI subsystem initialized
50,"Serial: <*><*> $ <*> ports, IRQ sharing enabled"
51,TCP: Hash tables configured (established <*> bind <*>)
52,Uniform Multi-Platform E-IDE driver Revision: <*>
53,Using cfq io scheduler
54,drivers<*> v2.<*>:USB HID core driver
55,ide-floppy driver <*>.<*>.newide
56,ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=xx
57,"ioc0: 53C1030: Capabilities={Initiator,Target}"
58,"md: md driver <*>.<*>.<*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>"
59,mice: PS<*> mouse device common for all mice
60,mptbase: Initiating ioc0 <*>
61,"scsi0 : ioc0: LSI53C1030, FwRev=01032300h, Ports=<*>, MaxQ=<*>, IRQ=<*>"
62,ttyS0 at I<*> <*> (irq = <*>) is a <*>
63,usbcore: registered new driver <*>
64,Bringing up <*> <*> succeeded
65,Setting <*> <*> succeeded
66,fs.file-max = <*>
67,net.ipv4.neigh.default.gc_thresh1 = <*>
68,net.ipv4.neigh.default.gc_thresh2 = <*>
69,net.ipv4.route.gc_thresh = <*>
70,vm.max_map_count = <*>
71,vm.min_free_kbytes = <*>
72,dcdbas device driver <*>
