ID,template
0,<*> (root) CMD (/home/#1#/bin/grab_myrinet_info &>/dev/null)
1,<*> (root) CMD (test -x <*> && <*> cron)
2,<*> LAuS error - <*> - <*> (19) <*> No such device
3,dhcpd: DHCPDISCOVER from <*> via <*> network <*> no free leases
4,kernel: hda: drive not ready for command
5,kernel: hda: status error: status=0x00 { }
6,"<*> <*> from=root, <*> class=0, nrcpts=1, <*> relay=#2#@localhost"
7,<*> <*> <*> <*> <*> stat=Deferred: Connection refused by [<*>]
8,<*> unable to qualify my own domain name <*> -- using short name
9,<*> My unqualified host name <*> unknown; sleeping for retry
10,<*> conversion of '-u' to float not complete: tail '-u'
11,<*> (root) CMD (run-parts <*>
12,<*> STATS: dropped <*>
13,last message repeated <*> times
14,<*> connection from <*>
15,rpc.mountd: authenticated <*> request from <*> for <*> <*>
16,<*> Now running on <*> privileges.
17,<*> Kerberos password <*> for user <*> <*>
18,<*> Password authentication for user <*> accepted.
19,<*> User <*> coming from <*> authenticated.
20,<*> session closed for user <*>
21,<*> session opened for user <*> by <*>
22,<*> Accepted <*> for <*> from <*> port <*> ssh2
23,"pbs_mom: tm_eof, matching task located, marking interface closed"
24,<*> Local disconnected: Connection <*>
25,<*> connection lost: 'Connection <*>
26,kernel: GM: trying to register an already locked page:OK
27,<*> (root) CMD (<*> <*> <*> 2>&1)
28,kernel: (see the NOTES section of 'man 2 wait'). Workaround activated.
29,kernel: application bug: <*> has SIGCHLD set to SIG_IGN but calls wait().
30,kernel: GM: <*> <*>
31,kernel: GM: There are <*> active subports for port <*> at close.
32,"pbs_mom: im_request, <*> non-zero exit status reported from node <*> <*>"
33,"pbs_mom: task_check, cannot tm_reply to <*> task 1"
34,"pbs_mom: tm_eof, no matching task found"
35,<*> illegal attempt to update using time <*> when last update time is <*> (minimum one second step)
36,<*> (#7#) CMD (csh -c <*> > <*> 2>&1)
37,<*> Remote host disconnected: Server host key changed
38,<*> connection lost: 'Server host key changed'
39,postfix<*>
40,"<*> <*> <*> orig_to=<root>, relay=local, <*> status=sent (forwarded as <*>"
41,"<*> <*> from=<#2#@#11#>, <*> nrcpt=1 (queue active)"
42,<*> <*> uid=0 from=<root>
43,postfix<*> <*> Message accepted for delivery)
44,"postfix<*> orig_to=<root>, relay=local, <*> status=sent (forwarded as <*>"
45,sshd[3874]: <*> <*> <*> closed by remote <*>
46,sshd[31673]: <*> <*> <*> closed by remote <*>
47,dhcpd: <*> <*> <*> <*> 00:60:dd:48:85:c9 via eth1
48,dhcpd: <*> <*> <*> <*> 00:60:dd:48:85:d1 via eth1
49,dhcpd: <*> <*> <*> <*> 00:60:dd:48:85:b9 via eth1
50,dhcpd: <*> <*> <*> <*> 00:60:dd:48:85:d0 via eth1
51,dhcpd: <*> <*> <*> <*> 00:60:dd:48:85:c5 via eth1
52,dhcpd: <*> <*> <*> <*> 00:60:dd:48:85:cc via eth1
53,<*> Remote host disconnected: Done with connection
54,<*> disconnected by application in remote: 'Done with connection'
55,sshd[5298]: <*> <*> <*> closed by remote <*>
56,sshd[605]: <*> <*> <*> closed by remote <*>
57,"<*> WARNING: hpasmd: Corrected Memory Error threshold exceeded (System Memory, Memory Module <*>"
58,<*> Public key <*> used.
59,<*> Public key authentication for user <*> accepted.
60,xinetd[2228]: START: <*> <*> from=<*>
61,gmond: gmond <*> <*>
62,"<*> <*> from=<#2#@#11#>, <*> nrcpt=4 (queue active)"
63,<*> X11 connection from <*> <*>
64,kernel:
65,kernel: <*>
66,kernel: <*> freepages: <*> min: <*> low: <*> high: <*>
67,kernel: <*> <*> id:0 il:0 ic:0 <*>
68,kernel: aa:474701 ac:3915 id:8208 il:1 ic:0 fr:1277
69,kernel: ( Active: <*> inactive_laundry: <*> inactive_clean: <*> free: <*> )
70,kernel: 1*4kB <*> <*> <*> <*> <*> 1*256kB <*> <*> 0*2048kB 0*4096kB = 5108kB)
71,kernel: 1*4kB 1*8kB <*> <*> <*> <*> <*> <*> <*> 1*2048kB 0*4096kB = 4220kB)
72,kernel: <*> pages of kernel stacks
73,"kernel: <*> lowmem pagetables, 0 highmem pagetables"
74,kernel: <*> pages of <*>
75,kernel: Free pages: <*> ( 0 HighMem)
76,kernel: Free swap: <*>
77,kernel: Swap cache: add <*> delete <*> find <*> race <*>
78,"kernel: <*> <*> buffers, <*> kbyte, <*> used <*> <*> locked, <*> dirty 0 delay"
79,kernel: <*> pages swap cached
80,kernel: <*> <*> pages
81,kernel: <*> pages shared
82,kernel: <*> memory: <*>
83,kernel: Out of Memory: Killed process <*> <*>
84,kernel: aa:482526 ac:4035 id:310 il:69 ic:0 fr:1277
85,kernel: <*> <*> <*> il:0 ic:0 fr:1277
86,kernel: aa:458443 ac:3835 id:261 il:117 ic:0 fr:1276
87,kernel: 2*4kB 1*8kB <*> <*> <*> <*> <*> <*> 0*1024kB 0*2048kB 0*4096kB = <*>
88,kernel: GM: Could not open port because LANai is not running.
89,sshd[2333]: <*> <*> <*> closed by remote <*>
90,sudo: <*> : <*> ; <*> ; USER=root ; <*> <*>
91,sshd[7720]: <*> <*> <*> closed by remote <*>
92,kernel: GM: gm_linux_kvirt_to_phys: PTE not present
93,kernel: GM: <*> failed (#43# retry):OK
94,sshd[4364]: <*> <*> <*> closed by remote <*>
95,sshd[9787]: <*> <*> <*> closed by remote <*>
